2026-03-05 21:42:58,600 INFO [sync_financials] === sync_financials START ===
2026-03-05 21:42:58,600 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-05 21:42:58,600 INFO [sync_financials]   scope:      RECENT 30日
2026-03-05 21:42:58,600 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-05 21:42:58,600 INFO [sync_financials]   table:      financials
2026-03-05 21:42:58,600 INFO [sync_financials]   limit:      無制限
2026-03-05 21:42:58,600 INFO [sync_financials]   batch-size: 500
2026-03-05 21:42:58,601 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260305_214258.log
2026-03-05 21:42:58,608 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-05 21:42:58,608 INFO [sync_financials] [SQLite] 差分モード: fetched_at >= 2026-02-03 21:42:58 (直近30日)
2026-03-05 21:42:58,991 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-05 21:42:58,999 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-05 21:42:58,999 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-05 21:42:59,259 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.3秒)
2026-03-05 21:43:01,937 INFO [sync_financials]   batch 17/145: 500 rows upserted (累計 8,500 / 72,490, 2.9秒)
2026-03-05 21:43:02,113 INFO [sync_financials]   batch 18/145: 500 rows upserted (累計 9,000 / 72,490, 3.1秒)
2026-03-05 21:43:02,269 INFO [sync_financials]   batch 19/145: 500 rows upserted (累計 9,500 / 72,490, 3.3秒)
2026-03-05 21:43:02,430 INFO [sync_financials]   batch 20/145: 500 rows upserted (累計 10,000 / 72,490, 3.4秒)
2026-03-05 21:43:02,643 INFO [sync_financials]   batch 21/145: 500 rows upserted (累計 10,500 / 72,490, 3.6秒)
2026-03-05 21:43:02,805 INFO [sync_financials]   batch 22/145: 500 rows upserted (累計 11,000 / 72,490, 3.8秒)
2026-03-05 21:43:02,981 INFO [sync_financials]   batch 23/145: 500 rows upserted (累計 11,500 / 72,490, 4.0秒)
2026-03-05 21:43:03,202 INFO [sync_financials]   batch 24/145: 500 rows upserted (累計 12,000 / 72,490, 4.2秒)
2026-03-05 21:43:03,355 INFO [sync_financials]   batch 25/145: 500 rows upserted (累計 12,500 / 72,490, 4.4秒)
2026-03-05 21:43:03,512 INFO [sync_financials]   batch 26/145: 500 rows upserted (累計 13,000 / 72,490, 4.5秒)
2026-03-05 21:43:03,680 INFO [sync_financials]   batch 27/145: 500 rows upserted (累計 13,500 / 72,490, 4.7秒)
2026-03-05 21:43:03,849 INFO [sync_financials]   batch 28/145: 500 rows upserted (累計 14,000 / 72,490, 4.8秒)
2026-03-05 21:43:04,001 INFO [sync_financials]   batch 29/145: 500 rows upserted (累計 14,500 / 72,490, 5.0秒)
2026-03-05 21:43:04,178 INFO [sync_financials]   batch 30/145: 500 rows upserted (累計 15,000 / 72,490, 5.2秒)
2026-03-05 21:43:04,338 INFO [sync_financials]   batch 31/145: 500 rows upserted (累計 15,500 / 72,490, 5.3秒)
2026-03-05 21:43:04,481 INFO [sync_financials]   batch 32/145: 500 rows upserted (累計 16,000 / 72,490, 5.5秒)
2026-03-05 21:43:04,661 INFO [sync_financials]   batch 33/145: 500 rows upserted (累計 16,500 / 72,490, 5.7秒)
2026-03-05 21:43:04,821 INFO [sync_financials]   batch 34/145: 500 rows upserted (累計 17,000 / 72,490, 5.8秒)
2026-03-05 21:43:04,969 INFO [sync_financials]   batch 35/145: 500 rows upserted (累計 17,500 / 72,490, 6.0秒)
2026-03-05 21:43:05,114 INFO [sync_financials]   batch 36/145: 500 rows upserted (累計 18,000 / 72,490, 6.1秒)
2026-03-05 21:43:05,281 INFO [sync_financials]   batch 37/145: 500 rows upserted (累計 18,500 / 72,490, 6.3秒)
2026-03-05 21:43:05,438 INFO [sync_financials]   batch 38/145: 500 rows upserted (累計 19,000 / 72,490, 6.4秒)
2026-03-05 21:43:05,577 INFO [sync_financials]   batch 39/145: 500 rows upserted (累計 19,500 / 72,490, 6.6秒)
2026-03-05 21:43:05,712 INFO [sync_financials]   batch 40/145: 500 rows upserted (累計 20,000 / 72,490, 6.7秒)
2026-03-05 21:43:05,867 INFO [sync_financials]   batch 41/145: 500 rows upserted (累計 20,500 / 72,490, 6.9秒)
2026-03-05 21:43:06,007 INFO [sync_financials]   batch 42/145: 500 rows upserted (累計 21,000 / 72,490, 7.0秒)
2026-03-05 21:43:06,162 INFO [sync_financials]   batch 43/145: 500 rows upserted (累計 21,500 / 72,490, 7.2秒)
2026-03-05 21:43:06,322 INFO [sync_financials]   batch 44/145: 500 rows upserted (累計 22,000 / 72,490, 7.3秒)
2026-03-05 21:43:06,474 INFO [sync_financials]   batch 45/145: 500 rows upserted (累計 22,500 / 72,490, 7.5秒)
2026-03-05 21:43:06,611 INFO [sync_financials]   batch 46/145: 500 rows upserted (累計 23,000 / 72,490, 7.6秒)
2026-03-05 21:43:06,787 INFO [sync_financials]   batch 47/145: 500 rows upserted (累計 23,500 / 72,490, 7.8秒)
2026-03-05 21:43:06,930 INFO [sync_financials]   batch 48/145: 500 rows upserted (累計 24,000 / 72,490, 7.9秒)
2026-03-05 21:43:07,075 INFO [sync_financials]   batch 49/145: 500 rows upserted (累計 24,500 / 72,490, 8.1秒)
2026-03-05 21:43:07,214 INFO [sync_financials]   batch 50/145: 500 rows upserted (累計 25,000 / 72,490, 8.2秒)
2026-03-05 21:43:07,359 INFO [sync_financials]   batch 51/145: 500 rows upserted (累計 25,500 / 72,490, 8.4秒)
2026-03-05 21:43:07,499 INFO [sync_financials]   batch 52/145: 500 rows upserted (累計 26,000 / 72,490, 8.5秒)
2026-03-05 21:43:07,638 INFO [sync_financials]   batch 53/145: 500 rows upserted (累計 26,500 / 72,490, 8.6秒)
2026-03-05 21:43:07,827 INFO [sync_financials]   batch 54/145: 500 rows upserted (累計 27,000 / 72,490, 8.8秒)
2026-03-05 21:43:07,971 INFO [sync_financials]   batch 55/145: 500 rows upserted (累計 27,500 / 72,490, 9.0秒)
2026-03-05 21:43:08,120 INFO [sync_financials]   batch 56/145: 500 rows upserted (累計 28,000 / 72,490, 9.1秒)
2026-03-05 21:43:08,269 INFO [sync_financials]   batch 57/145: 500 rows upserted (累計 28,500 / 72,490, 9.3秒)
2026-03-05 21:43:08,421 INFO [sync_financials]   batch 58/145: 500 rows upserted (累計 29,000 / 72,490, 9.4秒)
2026-03-05 21:43:08,571 INFO [sync_financials]   batch 59/145: 500 rows upserted (累計 29,500 / 72,490, 9.6秒)
2026-03-05 21:43:08,734 INFO [sync_financials]   batch 60/145: 500 rows upserted (累計 30,000 / 72,490, 9.7秒)
2026-03-05 21:43:08,889 INFO [sync_financials]   batch 61/145: 500 rows upserted (累計 30,500 / 72,490, 9.9秒)
2026-03-05 21:43:09,045 INFO [sync_financials]   batch 62/145: 500 rows upserted (累計 31,000 / 72,490, 10.0秒)
2026-03-05 21:43:09,184 INFO [sync_financials]   batch 63/145: 500 rows upserted (累計 31,500 / 72,490, 10.2秒)
2026-03-05 21:43:09,316 INFO [sync_financials]   batch 64/145: 500 rows upserted (累計 32,000 / 72,490, 10.3秒)
2026-03-05 21:43:09,475 INFO [sync_financials]   batch 65/145: 500 rows upserted (累計 32,500 / 72,490, 10.5秒)
2026-03-05 21:43:09,622 INFO [sync_financials]   batch 66/145: 500 rows upserted (累計 33,000 / 72,490, 10.6秒)
2026-03-05 21:43:09,748 INFO [sync_financials]   batch 67/145: 500 rows upserted (累計 33,500 / 72,490, 10.7秒)
2026-03-05 21:43:09,887 INFO [sync_financials]   batch 68/145: 500 rows upserted (累計 34,000 / 72,490, 10.9秒)
2026-03-05 21:43:10,028 INFO [sync_financials]   batch 69/145: 500 rows upserted (累計 34,500 / 72,490, 11.0秒)
2026-03-05 21:43:10,189 INFO [sync_financials]   batch 70/145: 500 rows upserted (累計 35,000 / 72,490, 11.2秒)
2026-03-05 21:43:10,349 INFO [sync_financials]   batch 71/145: 500 rows upserted (累計 35,500 / 72,490, 11.3秒)
2026-03-05 21:43:10,499 INFO [sync_financials]   batch 72/145: 500 rows upserted (累計 36,000 / 72,490, 11.5秒)
2026-03-05 21:43:10,667 INFO [sync_financials]   batch 73/145: 500 rows upserted (累計 36,500 / 72,490, 11.7秒)
2026-03-05 21:43:10,801 INFO [sync_financials]   batch 74/145: 500 rows upserted (累計 37,000 / 72,490, 11.8秒)
2026-03-05 21:43:10,936 INFO [sync_financials]   batch 75/145: 500 rows upserted (累計 37,500 / 72,490, 11.9秒)
2026-03-05 21:43:11,067 INFO [sync_financials]   batch 76/145: 500 rows upserted (累計 38,000 / 72,490, 12.1秒)
2026-03-05 21:43:11,217 INFO [sync_financials]   batch 77/145: 500 rows upserted (累計 38,500 / 72,490, 12.2秒)
2026-03-05 21:43:11,371 INFO [sync_financials]   batch 78/145: 500 rows upserted (累計 39,000 / 72,490, 12.4秒)
2026-03-05 21:43:11,554 INFO [sync_financials]   batch 79/145: 500 rows upserted (累計 39,500 / 72,490, 12.6秒)
2026-03-05 21:43:11,705 INFO [sync_financials]   batch 80/145: 500 rows upserted (累計 40,000 / 72,490, 12.7秒)
2026-03-05 21:43:11,843 INFO [sync_financials]   batch 81/145: 500 rows upserted (累計 40,500 / 72,490, 12.8秒)
2026-03-05 21:43:12,019 INFO [sync_financials]   batch 82/145: 500 rows upserted (累計 41,000 / 72,490, 13.0秒)
2026-03-05 21:43:12,172 INFO [sync_financials]   batch 83/145: 500 rows upserted (累計 41,500 / 72,490, 13.2秒)
2026-03-05 21:43:12,339 INFO [sync_financials]   batch 84/145: 500 rows upserted (累計 42,000 / 72,490, 13.3秒)
2026-03-05 21:43:12,488 INFO [sync_financials]   batch 85/145: 500 rows upserted (累計 42,500 / 72,490, 13.5秒)
2026-03-05 21:43:12,628 INFO [sync_financials]   batch 86/145: 500 rows upserted (累計 43,000 / 72,490, 13.6秒)
2026-03-05 21:43:12,761 INFO [sync_financials]   batch 87/145: 500 rows upserted (累計 43,500 / 72,490, 13.8秒)
2026-03-05 21:43:12,911 INFO [sync_financials]   batch 88/145: 500 rows upserted (累計 44,000 / 72,490, 13.9秒)
2026-03-05 21:43:13,051 INFO [sync_financials]   batch 89/145: 500 rows upserted (累計 44,500 / 72,490, 14.1秒)
2026-03-05 21:43:13,211 INFO [sync_financials]   batch 90/145: 500 rows upserted (累計 45,000 / 72,490, 14.2秒)
2026-03-05 21:43:13,357 INFO [sync_financials]   batch 91/145: 500 rows upserted (累計 45,500 / 72,490, 14.4秒)
2026-03-05 21:43:13,510 INFO [sync_financials]   batch 92/145: 500 rows upserted (累計 46,000 / 72,490, 14.5秒)
2026-03-05 21:43:13,674 INFO [sync_financials]   batch 93/145: 500 rows upserted (累計 46,500 / 72,490, 14.7秒)
2026-03-05 21:43:13,802 INFO [sync_financials]   batch 94/145: 500 rows upserted (累計 47,000 / 72,490, 14.8秒)
2026-03-05 21:43:13,938 INFO [sync_financials]   batch 95/145: 500 rows upserted (累計 47,500 / 72,490, 14.9秒)
2026-03-05 21:43:14,071 INFO [sync_financials]   batch 96/145: 500 rows upserted (累計 48,000 / 72,490, 15.1秒)
2026-03-05 21:43:14,210 INFO [sync_financials]   batch 97/145: 500 rows upserted (累計 48,500 / 72,490, 15.2秒)
2026-03-05 21:43:14,349 INFO [sync_financials]   batch 98/145: 500 rows upserted (累計 49,000 / 72,490, 15.4秒)
2026-03-05 21:43:14,481 INFO [sync_financials]   batch 99/145: 500 rows upserted (累計 49,500 / 72,490, 15.5秒)
2026-03-05 21:43:14,605 INFO [sync_financials]   batch 100/145: 500 rows upserted (累計 50,000 / 72,490, 15.6秒)
2026-03-05 21:43:14,749 INFO [sync_financials]   batch 101/145: 500 rows upserted (累計 50,500 / 72,490, 15.7秒)
2026-03-05 21:43:14,914 INFO [sync_financials]   batch 102/145: 500 rows upserted (累計 51,000 / 72,490, 15.9秒)
2026-03-05 21:43:15,052 INFO [sync_financials]   batch 103/145: 500 rows upserted (累計 51,500 / 72,490, 16.1秒)
2026-03-05 21:43:15,209 INFO [sync_financials]   batch 104/145: 500 rows upserted (累計 52,000 / 72,490, 16.2秒)
2026-03-05 21:43:15,358 INFO [sync_financials]   batch 105/145: 500 rows upserted (累計 52,500 / 72,490, 16.4秒)
2026-03-05 21:43:15,527 INFO [sync_financials]   batch 106/145: 500 rows upserted (累計 53,000 / 72,490, 16.5秒)
2026-03-05 21:43:15,677 INFO [sync_financials]   batch 107/145: 500 rows upserted (累計 53,500 / 72,490, 16.7秒)
2026-03-05 21:43:15,839 INFO [sync_financials]   batch 108/145: 500 rows upserted (累計 54,000 / 72,490, 16.8秒)
2026-03-05 21:43:15,989 INFO [sync_financials]   batch 109/145: 500 rows upserted (累計 54,500 / 72,490, 17.0秒)
2026-03-05 21:43:16,145 INFO [sync_financials]   batch 110/145: 500 rows upserted (累計 55,000 / 72,490, 17.1秒)
2026-03-05 21:43:16,317 INFO [sync_financials]   batch 111/145: 500 rows upserted (累計 55,500 / 72,490, 17.3秒)
2026-03-05 21:43:16,498 INFO [sync_financials]   batch 112/145: 500 rows upserted (累計 56,000 / 72,490, 17.5秒)
2026-03-05 21:43:16,646 INFO [sync_financials]   batch 113/145: 500 rows upserted (累計 56,500 / 72,490, 17.6秒)
2026-03-05 21:43:16,813 INFO [sync_financials]   batch 114/145: 500 rows upserted (累計 57,000 / 72,490, 17.8秒)
2026-03-05 21:43:16,969 INFO [sync_financials]   batch 115/145: 500 rows upserted (累計 57,500 / 72,490, 18.0秒)
2026-03-05 21:43:17,119 INFO [sync_financials]   batch 116/145: 500 rows upserted (累計 58,000 / 72,490, 18.1秒)
2026-03-05 21:43:17,287 INFO [sync_financials]   batch 117/145: 500 rows upserted (累計 58,500 / 72,490, 18.3秒)
2026-03-05 21:43:17,424 INFO [sync_financials]   batch 118/145: 500 rows upserted (累計 59,000 / 72,490, 18.4秒)
2026-03-05 21:43:17,568 INFO [sync_financials]   batch 119/145: 500 rows upserted (累計 59,500 / 72,490, 18.6秒)
2026-03-05 21:43:17,712 INFO [sync_financials]   batch 120/145: 500 rows upserted (累計 60,000 / 72,490, 18.7秒)
2026-03-05 21:43:17,868 INFO [sync_financials]   batch 121/145: 500 rows upserted (累計 60,500 / 72,490, 18.9秒)
2026-03-05 21:43:18,005 INFO [sync_financials]   batch 122/145: 500 rows upserted (累計 61,000 / 72,490, 19.0秒)
2026-03-05 21:43:18,146 INFO [sync_financials]   batch 123/145: 500 rows upserted (累計 61,500 / 72,490, 19.1秒)
2026-03-05 21:43:18,311 INFO [sync_financials]   batch 124/145: 500 rows upserted (累計 62,000 / 72,490, 19.3秒)
2026-03-05 21:43:18,457 INFO [sync_financials]   batch 125/145: 500 rows upserted (累計 62,500 / 72,490, 19.5秒)
2026-03-05 21:43:18,611 INFO [sync_financials]   batch 126/145: 500 rows upserted (累計 63,000 / 72,490, 19.6秒)
2026-03-05 21:43:18,785 INFO [sync_financials]   batch 127/145: 500 rows upserted (累計 63,500 / 72,490, 19.8秒)
2026-03-05 21:43:18,934 INFO [sync_financials]   batch 128/145: 500 rows upserted (累計 64,000 / 72,490, 19.9秒)
2026-03-05 21:43:19,110 INFO [sync_financials]   batch 129/145: 500 rows upserted (累計 64,500 / 72,490, 20.1秒)
2026-03-05 21:43:19,246 INFO [sync_financials]   batch 130/145: 500 rows upserted (累計 65,000 / 72,490, 20.2秒)
2026-03-05 21:43:19,396 INFO [sync_financials]   batch 131/145: 500 rows upserted (累計 65,500 / 72,490, 20.4秒)
2026-03-05 21:43:19,539 INFO [sync_financials]   batch 132/145: 500 rows upserted (累計 66,000 / 72,490, 20.5秒)
2026-03-05 21:43:19,690 INFO [sync_financials]   batch 133/145: 500 rows upserted (累計 66,500 / 72,490, 20.7秒)
2026-03-05 21:43:19,829 INFO [sync_financials]   batch 134/145: 500 rows upserted (累計 67,000 / 72,490, 20.8秒)
2026-03-05 21:43:19,995 INFO [sync_financials]   batch 135/145: 500 rows upserted (累計 67,500 / 72,490, 21.0秒)
2026-03-05 21:43:20,138 INFO [sync_financials]   batch 136/145: 500 rows upserted (累計 68,000 / 72,490, 21.1秒)
2026-03-05 21:43:20,279 INFO [sync_financials]   batch 137/145: 500 rows upserted (累計 68,500 / 72,490, 21.3秒)
2026-03-05 21:43:20,415 INFO [sync_financials]   batch 138/145: 500 rows upserted (累計 69,000 / 72,490, 21.4秒)
2026-03-05 21:43:20,582 INFO [sync_financials]   batch 139/145: 500 rows upserted (累計 69,500 / 72,490, 21.6秒)
2026-03-05 21:43:20,754 INFO [sync_financials]   batch 140/145: 500 rows upserted (累計 70,000 / 72,490, 21.8秒)
2026-03-05 21:43:20,884 INFO [sync_financials]   batch 141/145: 500 rows upserted (累計 70,500 / 72,490, 21.9秒)
2026-03-05 21:43:21,017 INFO [sync_financials]   batch 142/145: 500 rows upserted (累計 71,000 / 72,490, 22.0秒)
2026-03-05 21:43:21,196 INFO [sync_financials]   batch 143/145: 500 rows upserted (累計 71,500 / 72,490, 22.2秒)
2026-03-05 21:43:21,343 INFO [sync_financials]   batch 144/145: 500 rows upserted (累計 72,000 / 72,490, 22.3秒)
2026-03-05 21:43:21,480 INFO [sync_financials]   batch 145/145: 490 rows upserted (累計 72,490 / 72,490, 22.5秒)
2026-03-05 21:43:21,480 INFO [sync_financials] [VERIFY] Supabase 側の検証中...
2026-03-05 21:43:21,746 INFO [sync_financials] [VERIFY] public.financials: 72,490 rows
2026-03-05 21:43:21,746 INFO [sync_financials] 
============================================================
  SYNC 完了
  upserted: 72,490 / 72,490
  errors:   0
  elapsed:  22.5秒
============================================================
2026-03-05 21:43:21,754 INFO [sync_financials] === sync_financials END (log: C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_recent30d_20260305_214258.log) ===
